Kat	Wes	GOLD	Subtype	Perturbation	N1	Sentence Raw Text
F	F		F	0	apples	I mean , we 're not really , to use the president 's term , comparing apples to apples .
J	N/A		J	0	apples	In fact , CBO has estimated that both plans , both the Democratic plan and the Republican plan , if you 're looking at down premiums by about the same amount for the apples to apples .
F	N/A		F	0	apples	When you compare apples to apples , in fact , it is a decent comparison .
F	N/A		F	0	apples	So let 's compare this apples to apples .
F	N/A		F	0	apples	However , I will say , to compare apples to apples again , as you say , George W. Bush , as the incumbent president , in the third quarter of 2003 , just for his campaign , not combined with the RNC , raised $50 million .
J	N/A		J	0	apples	To get things going , he wanted a question along the same lines , apples to apples , for each candidate .
F	N/A		F	0	apples	To arrive at the numbers that they released in this survey , does the administration compare apples to apples , like policies to like policies across the states ?
F	N/A		F	0	apples	So one of the things we want to talk about is make sure that you 're not just shopping for pricing--compare apples to apples .
F	N/A		F	0	apples	You know , let 's put apples to apples .
F	N/A		F	0	apples	Well then -- let 's put apples to apples .
F	N/A		F	0	apples	If you 're not comparing apples to apples , it does n't matter .
F	N/A		F	0	apples	But if you go apples to apples , the last time the unemployment rate is what it is right now was back in 2000 , 2001 .
J	N/A		J	0	apples	I do n't think you 're going to find a lot of cases where you 're gon na say , hey , apples to apples .
I	F	J	J	0	apples	Senator Booker says unfair to go apples to apples with what he dealt with in Newark with what the crime bill represented .
F	N/A		F	0	apples	If we 're going to compare apples to apples , the similarity is just the track .
F(P)	N/A		F	0	apples	We ordered a selection of wine and beer ( served in awesome goblets ) and immediately spotted Apples to Apples .
F	N/A		F	0	apples	That would mean comparing apples to apples : the gay Ozzie and Harriets with the hetero ones , not matching the absent gay dad or drunk lesbian mom against the straight Ozzie and Harriets .
F	N/A		F	0	apples	Taking data that includes educational levels , age , wage sector employees , their study is able to compare apples to apples , in a sense , to arrive at several interesting and important findings .
F(p)	N/A		F	0	apples	To be fair , moments earlier I had been questioned about how we knew each other , why I had his phone number and why he was texting me instead of his close friends that were surrounding me in the room ... so I continued playing Apples to Apples ( an essential game to have on drunken party nights at college ) .
F	N/A		F	0	apples	That is because , with the color coding according to the phase of ENSO , the eye is able to compare apples to apples : the upward long-term trend during El Nio years ( red triangles ) is plain , the upward long-term trend during neutral years ( green squares ) is plain , and the upward long-term trend during La Nia years ( blue diamonds ) is plain .
F	N/A		F	0	apples	I think it includes all federal taxes ( income Obama and the media are n't comparing apples to apples .
F	N/A		F	0	apples	But it 's important to make sure you 're comparing apples to apples when you compare your price to the comps : look for ' sold ' prices , not just list prices of comparable properties ; check to be sure you 're comparing your deal with similar transaction types -- foreclosures to foreclosures , short sales to short sales , " regular
F	N/A		F	0	apples	The other argument could be that I am not really comparing apples to apples .
F(p)	N/A		F	0	apples	Apples to Apples : Technically a party game , but played with cards and dirt simple so I 'm going to cheat and sneak it into slot 11 on this top 10 list .
F(p)	N/A		F	0	apples	If you talk fast I think all instructions could be given in that Apples to Apples made it on your list .
F	N/A		F	0	apples	Compare apples to apples , look it up .
F	N/A		F	0	apples	If they want to shop around for the best deal , they need to be able to compare apples to apples , " said Nicoll .
F	F		F	0	apples	If you 're asking if I 'm comparing apples to apples -- no .
F	N/A		F	0	apples	To compare apples to apples , it 's probably better to use the MEPS denominator for overall health spending .
F	F		F	0	apples	Will we see him singing the 18 comments Folks , Comparing apples to apples - Gross Revenues to Debt Owed , we are one of the most indebted nations in the world - owing 5.5 Years of Gross Revenues increasing by half-a-year per year ...
F	N/A		F	0	apples	regular , etc ) so we can actually compare apples to apples .
J	N/A		J	0	apples	To keep this apples to apples how eggs compare to the eggs of factory farms ?
F	N/A		F	0	apples	So lets compare apples to apples .
J	N/A		J	0	apples	That 's why it 's important to look closely at the components of any research study to determine whether the overall findings provide appropriate guidance for your specific students , subjects , and grades -- apples to apples , so to speak .
F	N/A		F	0	apples	We 're comparing apples to apples .
F	N/A		F	0	apples	that way we would be able to compare apples to apples rather than vice versa .
F	N/A		F	0	apples	Comparisons like this are always comparing apples to oranges , you could n't comparing apples to apples since you got only one apple .
F	N/A		F	0	apples	It may be the case that HTML ( using tables ) is still longer than HTML ( using CSS only ) + CSS , but you should still compare apples to apples .
F	N/A		F	0	apples	Unfortunately , you are n't comparing apples to apples .
F	N/A		F	0	apples	So you are n't able to truly compare apples to apples with Sprint .
F	F		F	0	apples	Trying to keep Apples to Apples ( pun intended ) for the sake of this example : both VM and Sprint have the iPhone 4s .
F	N/A		F	0	apples	Just comparing apples to apples , you small-minded coward .
J	N/A		J	0	apples	We have subsidized housing already for the poor ... no one lives in the " sewer " unless of their own free will ... apples to apples .
F	N/A		F	0	apples	Yet , we , if one compares apples to apples , one would argue that nuclear power is far safer than bicycles , cell phones , ladders , tricycles , etc .
F	F		F	0	apples	And these are inflation-adjusted dollars , so we 're comparing apples to apples .
F	F		F	0	apples	Without that information , it 's hard to say if they were really comparing apples to apples .
F	N/A		F	0	apples	If Newt 's going to compare reality with fantasy , then I suggest he at least compare apples to apples :
F	N/A		F	0	apples	When looking for a club , compare apples to apples .
F	N/A		F	0	apples	In Tiger 's case , you 're comparing apples to apples .
F	N/A		F	0	apples	If they want to compare apples to apples , look at the Electricity Facts Label , because they have said Carrie Collier , a legislative analyst at the Public Utility Commission . 
F	F		F	0	apples	AT &T; does that so investors can compare apples to apples , says AT &T; spokesman Jim Byrnes .
F	N/A		F	0	apples	You have to compare apples to apples , and that means you have to base it on the number of operations , " said Lorie Hinton , assistant director at Centennial . 
F	N/A		F	0	apples	Most of the more mildly affected children who are considered to be on the spectrum today would never have qualified for an autism diagnosis impossible to compare apples to apples when looking at data on long-term trends , because what counts as " autism " is simply quite different today .
F	N/A		F	0	apples	Get several estimates for your job , and ask that they be detailed and itemized , including materials , so that you can compare apples to apples .
F	F		F	0	apples	It 's like you are comparing apples to apples when you really are n't .
F	N/A		F	0	apples	The Los Angeles Times article should have considered comparing " apples to apples . " 
F	F		F	0	apples	He grew Mattel 's once paper-thin games division by buying big names like Uno and Apples to Apples .
F(p)	N/A		F	0	apples	The basic structure of this pleasingly casual game is similar to Apples to Apples , though with a slightly more touchy-feely bent .
F	N/A		F	0	apples	You have to make sure you 're comparing apples to apples , " says Michael Lepech , a Stanford University professor studying ways to improve the sustainability of engineering processes . 
F	N/A		F	0	apples	When workers compare what they have to what the owners have , they are not comparing apples to apples .
F	N/A		F	0	apples	You want to be comparing apples to apples .
F	N/A		F	0	apples	Problem is you 're not comparing apples to apples .
F	N/A		F	0	apples	Greg Gibson Overland School op-ed did n't compare apples to apples
F	N/A		F	0	apples	With a background in education , he full well knows that he is not comparing apples to apples .
F	N/A		F	0	apples	But keeping the same multiplier allows to track progress over time , comparing apples to apples , she said .
J	N/A		J	0	apples	Oh ... I know that apples to apples was discussed , but I do n't like that game .
F	N/A		F	0	apples	You know , Richard , Bryce makes whip up an alternate launch plan with a big public rollout , and then we can compare apples to apples .
F	N/A		F	0	apples	Without controlling for the exact offense , the researchers are unlikely to be comparing apples to apples .
F	N/A		F	0	apples	I had a whole series of posts when the TMP came out that compared several corridors , apples to apples , between streetcars and ETBs .
F	F		F	0	arbitration	But , Mr. Selig , if you 're confident that you can make your case that baseball has serious financial problems and therefore your position on arbitration is intellectually justified , are you not willing to submit it , have the confidence to send it to arbitration , send arbitration to arbitration , as the union suggests ?
I	I		I	0	archdiocese	How much does it matter , archdiocese to archdiocese , location to location , how the church has responded to this crisis ?
J	J		J	0	arm	Yes , we fight arm to arm in Iraq .
J	J		J	0	arm	In the center of the circle of gods who reunited with every dream , he would fight arm to arm , using his croup to dodge any sly move on the enemy 's part , and avoid the rope whizzing between his hooves , thus forcing the enemy to fight face to face .
J	J		J	0	arm	She tied the shirts arm to arm , the pants leg to leg , and began to wrap his clothes in widening orbit .
J	J		J	0	arm	Thirteen activists then sat , arm to arm , chanting back and forth with the hundreds pushed back by the cops , exchanging verses : " How many more have to die ?
J	J		J	0	arms	If you are having problems because you ca n't hold hands then walk arms to arms .
J	J		J	0	army	We 're paying them off instead of having to go to the barely get laminated by western ones in classic army to army combat .
J	J		J	0	army	that , then as now , allowed easy communication at all levels , personal as well as institutional , the alliance born of common imperiled vital interests developed a special Combined Chiefs of Staff , to the sharing of intelligence , to the creation of liaisons between the individual services ( i.e. , army to army , navy to navy , etc. ) , to the joint project that culminated in the advent of nuclear weapons .
J	J		J	0	artist	But the show 's curator/team leader , Van Jazmin , describes the public display of this artist to artist work as a " progressive step for Postal Art , " usually considered somewhat of a " relatively underground movement in response to the Fluxus movement . " 
J	J		J	0	artist	Talk to them artist to artist , two experts plying their trade !
J	J		J	0	artist	Um , listen , Lana , just between you and me you know artist to artist when do you think we 'll draw females ?
J	J		J	0	artist	Artist to artist , all right [?]
J	J		J	0	artist	on the other hand it can get really personal and become more like ... artist to artist . ( community resource person )
J	J		J	0	assassin	For a split second their eyes met , assassin to assassin .
J	J		J	0	asshole	So what I 'm asking you to do is to place a phone call , asshole to asshole . 
I	I		I	0	assignment	In any case , we will rely on the general arbitration practice that recognizes the legitimacy of the transaction between the legal entities of assignment to assignment requirements . 
I	I		I	0	assignment	For her entire adult life , McKenna has lived assignment to assignment , avoiding making emotional attachments -- she does n't want to jeopardize the personal safety of anyone who is involved with her .
F	F		F	0	assistants	Assistants to assistants to assistants .
I	I		I	0	asteroid	And then they left and let us fend for ourselves , jumping asteroid to asteroid , searching for supplies , bases , hunting our fellow students till only two fleets remain . 
J	F	F	F	0	atheists	As far as I can tell , the main place accommodationism really exists is in scoldings delivered by atheists to atheists .
I	I		I	0	atoms	" Atoms to atoms either side of the orifice , " dust to dust .
F	F		F	0	atoms	In order to effect a pairing of all electrons and an even number of electron pairs , it was necessary to attach hydrogen atoms to atoms belonging to neighborhoods or a moiety that is part of the molecule .
F	F		F	0	attainments	By providing infants and children with carefully designed learning tasks , and assessing the knowledge that is acquired ( via behavioral and/or neuroimaging methods ) , researchers have been able to go beyond descriptions of language attainments to attainments .
F	F		F	0	attention	To define a disorder solely in terms of attention is a true leap forward , since for centuries nobody paid any attention to attention .
F	F		F	0	attention	So I want people to start paying attention to attention to their own prejudices , and then start putting their money where their mouth is out there in the world about products .
F	F		F	0	attention	I 'm a big fan of Tim Ferriss 's 4-Hour Workweek , which gives much attention to attention .
J	J		J	0	author	This this week we had 3o Top Author to Author Insults as judged by online site Flavorwire .
F	F		F	0	authority	It has long been the view of this Office that the Commander-in-Chief Clause is a substantive grant of authority to authority to commit the armed forces to combat is very broad .
I	B		I	0	axle	This entry measured 39 inches axle to axle , making it the longest bow in the test .
I	B		I	0	axle	At 34.5 inches axle to axle and with a forgiving 7 ? -inch brace height , this short yet easy-to-shoot bow will appeal to many bowhunters .
I	B		I	0	axle	Axle to axle : 371/2 in .
I	B		I	0	axle	Axle to axle : 33 in .
I	B		I	0	axle	Axle to axle : 331/2 in .
I	B		I	0	axle	Axle to axle : 35 in .
I	B		I	0	axle	Axle to axle : 311/2 in .
I	B		I	0	axle	Axle to axle : 40 in .
I	J		I	0	back	No first choice to stay , I know all four seasons here , back to back , year to year .
J	J		J	0	back	The leader will call out commands like , " back to back " or " knee to knee " .
J	I	J	J	0	backpack	At a convenience store on Manhattan 's Upper West Side recently , Sara Padovani , 13 , huddled backpack to backpack with Amiris Jacobo , 14 , discussing a can of potato chips .
I	B		I	0	balcony	But boy , that just seems weird that 20 minutes later , she decides to go balcony to balcony .
I	B		I	0	bank	They hurried south toward the town two miles off , where the ferry rope stretched bank to bank above the river .
I	B		I	0	bank	That night it started snowing , and by the time the storm stopped three days later , the snow was deeper than our knees and the river had clogged with slush and frozen solid , bank to bank . 
J	J		J	0	bank	Sachs came out with a report and they basically looked at if you were to replace all transactions globally , so FX , bank to bank transactions with the Bitcoin protocol and still charging 1% , mind you , it would save the global economy 200 billion , not million , 200 billion dollars a year in saved transaction costs which ultimately goes back into the hands of the consumer . 
I	I		I	0	barrel	It 's tapped well . " More than half a century after discovering oil in the Niger Delta , the country continues to subsist barrel to barrel .
J	J		J	0	base	When you connect two cylinders of the same area , base to base , you can put them quadrant to quadrant .
I	I		I	0	base	In the excitement , dashing base to base , her feet long and limber in black laced shoes , Mary Anita did not notice .
J	J		J	0	base	The skis ' flex is first tested by machine ( below , left ) , then inspected by human eye : a skilled technician puts a potential pair base to base , squeezes the camber out , and checks for symmetry .
I	B		I	0	baseline	He can defend baseline to baseline , " Bonczyk said . 
I	I		I	0	batch	The levels of isoflavones in most of brand and batch to batch .
I	I		I	0	beach	It 's no 's a beach to beach sale , but it 's definitely a briefcase sale .
J	J		J	0	beak	They were two birds beak to beak , skinny , yellow-eyed . "
J	J		J	0	beak	These are grown penguin chicks chasing their mothers for food , which she delivers beak to beak .
J	J		J	0	beak	How we were dancing beak to beak - I do I entranced you with my call -
J	J		J	0	beak	Wah-wah-wah Beak to beak Wing to wing Wah !
J	J		J	0	beak	They 're beak to beak , wing to wing ... and it 's Nod by a tail feather !
J	J		J	0	beak	Where everyone gets fed beak to beak And eventually leaves again ? ?
J	J		J	0	beak	Winter is Here , Lana Walden , Mt . Baker CC ; Loon Feeding , Ed McGuirk , Boston West CC ; Male Bluebird , Richard Asarisi , New Haven CC ; Beak to Beak , Louis Romain , FPSA , EPSA , Saguaro CC ; Madagascan Gecko on a Bird of Paradise , Gavin Donaldson , Unlimited Visions CC ; Lighting at the Beach , Mark , F:67 CC ; Red Fox , Rich Phalin , Unlimited Visions CC ; Young Polar Bear Cooling
J	J		J	0	beak	He will never see the nest where his offspring is raised , and most likely would n't know his own son or daughter if they met beak to beak .
F	F		F	0	bed	The recommended way for putting an asparagus bed to bed is to cut the plants within an inch or two of their base once they have turned yellowish at the end of the season .
I	I		I	0	bed	Simultaneously troubled and inspired by the sacrifices soldiers made in the November 2004 battle of Fallujah , President Wright decided to visit military hospitals , walking bed to bed and encouraging veterans to think about college .
F	F		F	0	behavior	In her response , she linked this supervisory behavior to behavior she engaged in when teaching her own students : Tobi felt that the ST 's personality influenced her entries . 
J	J		J	0	belly	In general , you and baby should be belly to belly , which is one of the yummiest feelings in the world .
J	J		J	0	belly	Also- " you and baby should be belly to belly , which is one of the yummiest feelings in the world .
J	J		J	0	belly	They may well have been communicating underwater as they drew near , but upon encountering one another , the leaders of both groups breached to confront each other belly to belly .
J	J		J	0	belly	Hc set his head down on my chest , so we were belly to belly .
J	J		J	0	belly	Yim hits a belly to belly that sends Shayna out of the ring .
J	J		J	0	belly	Belly to Belly and knee to knee .
J	J		J	0	belly	Among the females that were gathered near the sugar cane , Nami clung to another female , Haru , belly to belly , and the two rubbed genitals together activity with other female partners .
I	J	J	J	0	bike	Banked hard into bike to bike , but for comfort going down the road , the ' 79 is the clear-cut winner with its Cadillac ride .
F	F		F	0	bill	Now , what happened with the Balzers is they submitted their bill to bill of the month .
F	F		F	0	billion	NADLER : No , no . ( CROSSTALK ) ENSIGN : ... $20 billion to billion 
J	F	J	J	0	billionaire	billionaire to billionaire kids got a lot of stuff hey , doc well she had a great teacher and now you get to decide when you 're done racing so what 's it gon na be stinky stickers oh I 'm gon na keep racing but before I had something 's great exhibition
J	J		J	0	bird	As you know , most of it has been bird to bird or bird to animal infections .
