Orig Label	Perturbation	True NPN	N1	Sentence Raw Text
N	0	N	apples	You 'll be able to quickly compare apples to apples because there are fewer apples the best decision based on the information you have .
N	0	N	apples	Time comparisons give the illusion we 're comparing apples to apples with respect to effort .
N	0	N	apples	You have those concerns and I appreciate that , but I feel we 're comparing apples to apples -- detergents and soaps are harsh or contain harsh ingredients .
N	0	N	apples	I 'm not sure what ' quicker ' or ' slower ' means here , but I 'm pretty sure we 're not comparing apples to apples here .
N	0	N	apples	The image library provides a common basis for researchers to test the effectiveness of different approaches to image processing based on an apples to apples .
N	0	N	apples	"You compare apples to apples , "" he added focus on four areas , according to Warren : the role of the presidency in government , leadership , the candidates ' world view and America 's role internationally ."
N	0	N	apples	For this type of static calculation , MODTRAN should be While it 's nearly impossible to compare apples to apples across such a wide spectrum of structures -- and built in such a wide range of climates -- certain green-build projects stand out , not just for their eco bells and whistles , but for the inspiration they offer architects , designers and developers alike .
N	0	N	apples	So when comparing damage estimates that you may see for Sandy to those here , to compare apples to apples , a rough method will be to take estimated insured losses and multiply by two .
N	0	N	apples	Out of the Box discovered Apples to Apples when its inventor , 15 years ago .
N	0	N	apples	, 10% of the population owned 71% of the wealth ... in Australia in 1999-2000 , the richest 20% of households distribution to income distribution - it 's not apples to apples .
N	0	N	apples	"I 'm not sure "" market failures "" and "" silly government programs "" are comparing apples to apples ."
N	0	N	apples	"So apples to apples , modern warming and MWP are similar sea levels equal to 1/2 meter higher than today , smaller glaciers worldwide than today , etc which all take many decades of "" asynchronous "" warming to achieve ."
N	0	N	apples	Let 's compare apples to apples . woodsmanj35 what do you shoot out of your 257 Weatherby Mag ?
N	0	N	apples	Comparing Cal to other schools is not comparing apples to apples .
N	0	N	apples	If you want to compare to Germany , apples to apples , you have to consider that the tax credit for the physical plant is 0% . KPMG did a study where they attempted to quantify the entire lifecycle and concluded that the return in taxes paid was 3X the tax credit with a decent IRR if evaluated as an investment
N	0	N	apples	And wind and solar are not comparable as apples to apples unless you 've accounted for the grid capacity factors .
N	0	N	apples	I 've read about the Heritage Foundation Study and it 's flawed because it does n't compare apples to apples ( age , education , types of degrees , responsibilities ) .
N	0	N	apples	"We like board games and are all for games if that is made clear beforehand but we 've been out a few times and after dinner people pull out Apples to Apples or the like and my husband gives me the "" get me the hell out of here !"
N	0	N	apples	If you want to compare apples to apples , the EROEI for petroleum , even Throw in the refining step , which is also 10/1 , and you have an EROEI of 5/1 or better for gasoline , compared to 1.2 or so for corn ethanol .
N	0	N	apples	This is one of the reasons why I gave Mr Pielke a hard time for not comparing apples to apples .
N	0	N	apples	Some humans assume to bare a lot of able agenda camera accuse are the way to bare the best discounts , which accept to requires a ample amount of reseek so youre comparing apples to apples .
N	0	N	apples	I think if you compare apples to apples , you will find that it is n't one versus several .
N	0	N	apples	"What is the single purpose of the pipeline if you compare apples to apples , you will find that it is n't one versus several . "" -- Robert Rapier I apologize for not seeing that this was a serious question ."
N	0	N	apples	You know , Lief , the most direct thing about this is that it is far simpler to compare apples to apples , rather than grind up an orange , squeeze out the juiice , add apple juice , pectin &; sugar , pack in a mold and create an artificial apple .
N	0	N	apples	I am saying compare Apples to Apples ..
N	0	N	apples	That MEANS something ... it IS a note of accomplishment to have endured politically , economically , socially , etc , etc , etc , and to have that status after great moments and profound evident failures ... compare Apples to Apples is also the point ! word-
N	0	N	apples	You are not comparing apples to apples .
N	0	N	apples	Are you comparing apples to apples when you zoom in ?
N	0	N	apples	"I particularly love the "" on average "" part -- no attempts to compare apples to apples here !"
N	0	N	apples	Anonymous Nooooo , I 'm talking about real statistics , not some idiot who thinks that all you need is a spreadsheet and does n't understand the concept of comparing apples to apples .
N	0	N	apples	Nor did the articles that you point to bother comparing apples to apples .
N	0	N	apples	So make sure you are comparing apples to apples .
N	0	N	apples	I indicate significantly , let us compare apples to apples below .
N	0	N	apples	Apples to apples , otter to otter , gleam to gleam , though only when her mother was n't there .
N	0	N	apples	First , we specifically define the category so we 're comparing apples to apples .
N	0	N	apples	And when you comparison shop , always compare apples to apples : Subtle differences in construction technique-like using countersunk screws instead of nails , careful painting , and rot prevention-can add considerably to the initial cost but can save thousands in the end for your home , consider a custom fence .
N	0	N	apples	And in order to make the com parison apples to apples , Starmine evaluated analysts ' returns relative to sector benchmarks , and then ranked analysts by how much they outperformed their respective sectors over the three-year period that ended June 2002 .
N	0	N	apples	"More than 400 commercial manufacturers currently produce log homes , each with numerous styles and options . "" Ill be the first to admit it , we make it veiy difficult for consumers to compare apples to apples , so to speak , because eveiy company has a different package , "" says Rich Horn , 2004 president of the Log Homes Council . """
N	0	N	apples	Alwil and Grisoft offer feature-limited free versions of their programs-but to compare apples to apples , we selected their paid versions .
N	0	N	apples	We start with almost 100 boot entries and divide them into groups -- narrow , medium , and wide lasts , plus a wild-card category for new technologies -- so we 're comparing apples to apples .
N	0	N	apples	# BUYING TIP # Because energy info on old labels is calculated using a different standard than on new labels , only compare label data when it ' s apples to apples ( old to old , new to new ) . # Section : GH REPORT # TURN YOUR OLD TV into a smart TV by adding one of these entertainment devices .
N	0	N	apples	We also have not been investing- KOPPEL : Can we just compare apples to apples , though ?
N	0	N	apples	This should have been done months ago , at least six weeks ago , when the president signed a law saying he would do this , submit a balanced budget in seven years using real , honest CBO numbers , but at least it 's been done now and they can talk apples to apples .
N	0	N	apples	and if it 's Florio , we have a lot to discuss as far as comparison , although the interesting thing is while you use what you have done and -- and if I run against Jim Florio , we both have held the same job and it -- so you can compare apples to apples -- but this is also about the future , about what you 'd do as a United States senator to help New Jersey .
N	0	N	apples	O'REILLY : Again -- again , you 're not comparing apples to apples now .
N	0	N	apples	@!SUAREZ : And when you are comparing apples to apples and in places where people do have a full range of choices rather than just the default choice of the car , transit performs well ?
N	0	N	apples	So , I 'm going to ask the exact same question to both candidates so America can have a fair and equitable look at how they compare , not apples to apples , not something different .
N	0	N	apples	I mean , we 're not really , to use the president 's term , comparing apples to apples .
N	0	N	apples	In fact , CBO has estimated that both plans , both the Democratic plan and the Republican plan , if you 're looking at down premiums by about the same amount for the apples to apples .
N	0	N	apples	When you compare apples to apples , in fact , it is a decent comparison .
N	0	N	apples	@!GWEN-IFILL: So let 's compare this apples to apples .
N	0	N	apples	However , I will say , to compare apples to apples again , as you say , George W. Bush , as the incumbent president , in the third quarter of 2003 , just for his campaign , not combined with the RNC , raised $50 million .
N	0	N	apples	book , Jim writes of preparing opening questions for the 1992 three-way debate between George H.W. Bush , Bill Clinton and Ross Perot . @!JIM-LEHRER: I will ask questions for the first half under rules that permit ... @!JEFFREY-BROWN: To get things going , he wanted a question along the same lines , apples to apples , for each candidate .
N	0	N	apples	To arrive at the numbers that they released in this survey , does the administration compare apples to apples , like policies to like policies across the states ?
N	0	N	apples	So one of the things we want to talk about is make sure that you 're not just shopping for pricing--compare apples to apples .
N	0	N	apples	You know , let 's put apples to apples .
N	0	N	apples	Well then -- let 's put apples to apples .
N	0	N	apples	If you 're not comparing apples to apples , it does n't matter .
N	0	N	apples	But if you go apples to apples , the last time the unemployment rate is what it is right now was back in 2000 , 2001 .
N	0	N	apples	I do n't think you 're going to find a lot of cases where you 're gon na say , hey , apples to apples .
N	0	N	apples	@1CUOMO@2 : Senator Booker says unfair to go apples to apples with what he dealt with in Newark with what the crime bill represented .
N	0	N	apples	If we 're going to compare apples to apples , the similarity is just the track .
N	0	N	apples	We ordered a selection of wine and beer ( served in awesome goblets ) and immediately spotted Apples to Apples .
N	0	N	apples	That would mean comparing apples to apples : the gay Ozzie and Harriets with the hetero ones , not matching the absent gay dad or drunk lesbian mom against the straight Ozzie and Harriets .
N	0	N	apples	The short answer offered by researchers Sylvia A. Allegretto and Jeffrey Keefe in their report for UC Berkeley 's Center on Wage and Employment Dynamics is ' no . ' Taking data that includes educational levels , age , wage sector employees , their study is able to compare apples to apples , in a sense , to arrive at several interesting and important findings .
N	0	N	apples	To be fair , moments earlier I had been questioned about how we knew each other , why I had his phone number and why he was texting me instead of his close friends that were surrounding me in the room ... so I continued playing Apples to Apples ( an essential game to have on drunken party nights at college ) .
N	0	N	apples	That is because , with the color coding according to the phase of ENSO , the eye is able to compare apples to apples : the upward long-term trend during El Nio years ( red triangles ) is plain , the upward long-term trend during neutral years ( green squares ) is plain , and the upward long-term trend during La Nia years ( blue diamonds ) is plain .
N	0	N	apples	I think it includes all federal taxes ( income Obama and the media are n't comparing apples to apples .
N	0	N	apples	"But it 's important to make sure you 're comparing apples to apples when you compare your price to the comps : look for ' sold ' prices , not just list prices of comparable properties ; check to be sure you 're comparing your deal with similar transaction types -- foreclosures to foreclosures , short sales to short sales , "" regular"
N	0	N	apples	". "" But it 's important to make sure you 're comparing apples to apples when you compare your price to the comps : look for ' sold ' prices , not just list prices of comparable properties ; check to be sure you 're comparing your deal with similar transaction types -- foreclosures to foreclosures , short sales to short sales , "" regular "" equity sales to the same ; and make sure that the "" comps "" are actually similar in terms of bedrooms , bathrooms , square footage , location and condition ."
N	0	N	apples	Apples to apples , dust to dust , bitchez .
N	0	N	apples	The other argument could be that I am not really comparing apples to apples .
N	0	N	apples	Apples to Apples : Technically a party game , but played with cards and dirt simple so I 'm going to cheat and sneak it into slot 11 on this top 10 list .
N	0	N	apples	If you talk fast I think all instructions could be given in that Apples to Apples made it on your list .
N	0	N	apples	Compare apples to apples , look it up .
N	0	N	apples	"If they want to shop around for the best deal , they need to be able to compare apples to apples , "" said Nicoll ."
N	0	N	apples	If you 're asking if I 'm comparing apples to apples -- no .
N	0	N	apples	To compare apples to apples , it 's probably better to use the MEPS denominator for overall health spending .
N	0	N	apples	Will we see him singing the 18 comments Folks , Comparing apples to apples - Gross Revenues to Debt Owed , we are one of the most indebted nations in the world - owing 5.5 Years of Gross Revenues increasing by half-a-year per year ...
N	0	N	apples	regular , etc ) so we can actually compare apples to apples .
N	0	N	apples	To keep this apples to apples how eggs compare to the eggs of factory farms ?
N	0	N	apples	So lets compare apples to apples .
N	0	N	apples	That 's why it 's important to look closely at the components of any research study to determine whether the overall findings provide appropriate guidance for your specific students , subjects , and grades -- apples to apples , so to speak .
N	0	N	apples	We 're comparing apples to apples .
N	0	N	apples	that way we would be able to compare apples to apples rather than vice versa .
N	0	N	apples	"As Ryan said , comparing ocean sailing to space is apples and orange orchards "" : Comparisons like this are always comparing apples to oranges , you could n't comparing apples to apples since you got only one apple ."
N	0	N	apples	It may be the case that HTML ( using tables ) is still longer than HTML ( using CSS only ) + CSS , but you should still compare apples to apples .
N	0	N	apples	Unfortunately , you are n't comparing apples to apples .
N	0	N	apples	So you are n't able to truly compare apples to apples with Sprint .
N	0	N	apples	Trying to keep Apples to Apples ( pun intended ) for the sake of this example : both VM and Sprint have the iPhone 4s .
N	0	N	apples	Just comparing apples to apples , you small-minded coward .
N	0	N	apples	"We have subsidized housing already for the poor ... no one lives in the "" sewer "" unless of their own free will ... apples to apples ."
N	0	N	apples	Yet , we , if one compares apples to apples , one would argue that nuclear power is far safer than bicycles , cell phones , ladders , tricycles , etc .
N	0	N	apples	And these are inflation-adjusted dollars , so we 're comparing apples to apples .
N	0	N	apples	Without that information , it 's hard to say if they were really comparing apples to apples .
N	0	N	apples	If Newt 's going to compare reality with fantasy , then I suggest he at least compare apples to apples :
N	0	N	apples	When looking for a club , compare apples to apples .
N	0	N	apples	In Tiger 's case , you 're comparing apples to apples .
N	0	N	apples	"If they want to compare apples to apples , look at the Electricity Facts Label , because they have said Carrie Collier , a legislative analyst at the Public Utility Commission . """
N	0	N	apples	AT &T; does that so investors can compare apples to apples , says AT &T; spokesman Jim Byrnes .
N	0	N	apples	"You have to compare apples to apples , and that means you have to base it on the number of operations , "" said Lorie Hinton , assistant director at Centennial . """
N	0	N	apples	"Most of the more mildly affected children who are considered to be on the spectrum today would never have qualified for an autism diagnosis impossible to compare apples to apples when looking at data on long-term trends , because what counts as "" autism "" is simply quite different today ."
N	0	N	apples	Web site can help you . // - Get several estimates for your job , and ask that they be detailed and itemized , including materials , so that you can compare apples to apples .
N	0	N	apples	It 's like you are comparing apples to apples when you really are n't .
N	0	N	apples	"The Los Angeles Times article should have considered comparing "" apples to apples . "" I wonder how many other Vietnam vets and POWs had marriages that did not survive that incredible stress ?"
N	0	N	apples	He grew Mattel 's once paper-thin games division by buying big names like Uno and Apples to Apples .
N	0	N	apples	The basic structure of this pleasingly casual game is similar to Apples to Apples , though with a slightly more touchy-feely bent .
N	0	N	apples	"You have to make sure you 're comparing apples to apples , "" says Michael Lepech , a Stanford University professor studying ways to improve the sustainability of engineering processes . #"
N	0	N	apples	When workers compare what they have to what the owners have , they are not comparing apples to apples .
N	0	N	apples	You want to be comparing apples to apples .
N	0	N	apples	Problem is you 're not comparing apples to apples .
N	0	N	apples	Greg Gibson Overland School op-ed did n't compare apples to apples
N	0	N	apples	With a background in education , he full well knows that he is not comparing apples to apples .
N	0	N	apples	But keeping the same multiplier allows to track progress over time , comparing apples to apples , she said .
N	0	N	apples	Oh ... I know that apples to apples was discussed , but I do n't like that game .
N	0	N	apples	You know , Richard , Bryce makes whip up an alternate launch plan with a big public rollout , and then we can compare apples to apples .
N	0	N	apples	Without controlling for the exact offense , the researchers are unlikely to be comparing apples to apples .
N	0	N	arbitration	. Mr. WILL : But , Mr. Selig , if you 're confident that you can make your case that baseball has serious financial problems and therefore your position on arbitration is intellectually justified , are you not willing to submit it , have the confidence to send it to arbitration , send arbitration to arbitration , as the union suggests ?
Y	0	Y	archdiocese	How much does it matter , archdiocese to archdiocese , location to location , how the church has responded to this crisis ?
Y	0	Y	arm	Yes , we fight arm to arm in Iraq .
Y	0	Y	arm	In the center of the circle of gods who reunited with every dream , he would fight arm to arm , using his croup to dodge any sly move on the enemy 's part , and avoid the rope whizzing between his hooves , thus forcing the enemy to fight face to face .
Y	0	Y	arm	She tied the shirts arm to arm , the pants leg to leg , and began to wrap his clothes in widening orbit .
Y	0	Y	arm	"Thirteen activists then sat , arm to arm , chanting back and forth with the hundreds pushed back by the cops , exchanging verses : "" How many more have to die ?"
Y	0	Y	arms	If you are having problems because you ca n't hold hands then walk arms to arms .
Y	0	Y	army	We 're paying them off instead of having to go to the barely get laminated by western ones in classic army to army combat .
Y	0	Y	army	that , then as now , allowed easy communication at all levels , personal as well as institutional , the alliance born of common imperiled vital interests developed a special Combined Chiefs of Staff , to the sharing of intelligence , to the creation of liaisons between the individual services ( i.e. , army to army , navy to navy , etc. ) , to the joint project that culminated in the advent of nuclear weapons .
Y	0	Y	army	now , allowed easy communication at all levels , personal as well as institutional , the alliance born of common imperiled vital interests developed a special Combined Chiefs of Staff , to the sharing of intelligence , to the creation of liaisons between the individual services ( i.e. , army to army , navy to navy , etc. ) , to the joint project that culminated in the advent of nuclear weapons .
Y	0	Y	artisan	You were artisan to artisan .
Y	0	Y	artist	"But the show 's curator/team leader , Van Jazmin , describes the public display of this artist to artist work as a "" progressive step for Postal Art , "" usually considered somewhat of a "" relatively underground movement in response to the Fluxus movement . "" Finding truth and beauty in simple ordinary things requires a humble ( ego-less ) way of seeing and being in the world"
Y	0	Y	artist	Talk to them artist to artist , two experts plying their trade !
Y	0	Y	artist	Um , listen , Lana , just between you and me you know artist to artist when do you think we 'll draw females ?
Y	0	Y	artist	Artist to artist , all right [?]
Y	0	Y	artist	If a student does n't know a technique , you have to introduce ( the technique ) and give them directions . on the other hand it can get really personal and become more like ... artist to artist . ( community resource person )
Y	0	Y	ash	Ash to ash , you say , but I know different .
Y	0	Y	ash	Ash to ash , we join you again .
Y	0	Y	ash	Ash to ash , dust to dust .
Y	0	Y	ashes	Ashes to ashes and all that .
Y	0	Y	ashes	After the finale of Ashes to Ashes aired , producer Matthew Graham gave an interview ( and you can consider yourself warned for massive spoilers ) where he talked about the three possible endings the writers had considered , and one alternate version to the third they almost shot before going with the version they chose :
Y	0	Y	ashes	Ashes to Ashes , Dust to Dust .
Y	0	Y	ashes	Ashes to ashes , dust .
Y	0	Y	ashes	"Rachel nodded , her eyes closing . "" Ashes to ashes ... "" p114 Mary"
Y	0	Y	ashes	Ashes to ashes , right ?
Y	0	Y	ashes	Ashes to ashes , dust to dust : the formula is easy to recite , hard to accept sang to us a week ago .
Y	0	Y	ashes	"The mailman 's family would have a tough-enough time just living with the pain and getting burdens as well . "" Ashes to ashes , "" the minister said , "" dust to dust . "" Tritia and Doug looked at each other , then grasped each other 's hands , holding tightly . "" Amen . "" Ellen and the boys moved forward as the casket was lowered into the grave ."
Y	0	Y	ashes	"Then he said , "" Ashes to ashes . "" I was startled ."
Y	0	Y	ashes	Ashes to ashes , pulp to pulp .
Y	0	Y	ashes	Ashes to ashes , dust to dust .
Y	0	Y	ashes	"Ashes to ashes , dust to dust , "" Rabbi Fink continued , pounding the podium to emphasize his points . "" Whoever heard of Sol Spivak ?"
Y	0	Y	ashes	"The house really was huge , and maybe that was why it took so long for anyone to come to the front door . "" Fuck it , it 's freezing out here , "" Jason said . "" Ashes to ashes , "" Gretel said . "" Will you cut it out ? "" Jason put his hand on the doorbell and left it of life . "" """
Y	0	Y	ashes	Ashes to ashes : Gold Dust to Dusty , what a joke .
Y	0	Y	ashes	", I really do . "" After the service they rode together in one of Mandelbaum 's limousines , leading a parade of cars through stop-and-go traffic all the way down to Colma , where , under a bright blue sky , Miriam Suskind 's coffin was lowered into the ground . "" Ashes to ashes , dust to dust , "" Rabbi Futterman intoned , and with his knotty hands he shoveled the first clods of dirt ."
Y	0	Y	ashes	". "" After the service they rode together in one of Mandelbaum 's limousines , leading a parade of cars through stop-and-go traffic all the way down to Colma , where , under a bright blue sky , Miriam Suskind 's coffin was lowered into the ground . "" Ashes to ashes , dust to dust , "" Rabbi Futterman intoned , and with his knotty hands he shoveled the first clods of dirt ."
Y	0	Y	ashes	"I think it was surprise as much as pain ; in spite of the corpse I had seen and identified on a high-resolution video monitor , in Assurance "" in his high , sweet tenor voice , in spite of the graveside service with its ashes to ashes and dust to dust , I had n't really believed it ."
Y	0	Y	ashes	Was it merely the twisted set of her mind , or was this mosaic of ashes to ashes and dust to dust a thing of beauty ?
Y	0	Y	ashes	"Whatever you do , it 's still ashes to ashes , dust to dust . """
Y	0	Y	ashes	"to seeing my ghost arm as proof of my own soul , proof of an afterlife "" Teddy leaned back , and Gary knew he 'd finished his piece . "" I do n't know if that 's such a comfort , "" Gary said . "" I always reckoned it was just ashes to ashes , you know ."
Y	0	Y	ashes	"In his direct path , he noticed a group of new mourners attending a graveside funeral , and heard the Ashes to ashes ... dust to dust ... """
Y	0	Y	ashes	"He ran his tongue over his lips , tasting ash . "" Damn man , "" Kype said , spitting . "" Ashes to ashes . "" D'Angelo screwed down the lid and gave the urn a shake ."
Y	0	Y	ashes	"He unscrewed the cap , poked his fingers in , and marked a cross on Nell 's forehead . "" Ashes to ashes , "" he said . """
Y	0	Y	ashes	"He was a youngish fellow , new to the parish and by all accounts , still convinced that he could make the world a better place . "" Ashes to ashes , "" the priest said meant to be the bereaved widower ."
Y	0	Y	ashes	"youngish fellow , new to the parish and by all accounts , still convinced that he could make the world a better place . "" Ashes to ashes , "" the priest said meant to be the bereaved widower ."
Y	0	Y	ashes	Ashes to ashes and dust to dust .
Y	0	Y	ashes	"Six years later : the spring of 1886. // "" ' Surely goodness and mercy shall follow me all the days of my life , and I shall dwell in the house of the Lord forever , ' "" the pastor intoned . "" Ashes to ashes ... dust to dust ."
Y	0	Y	ashes	"Ashes to ashes . "" August 22 , 3002 C.E. the Customs Service ."
Y	0	Y	ashes	"Abe 's call . # "" Ashes to ashes ."
Y	0	Y	ashes	As for the deceased 's ward , a girl of seventeen , she actually smiled right through the bit about ashes to ashes , dust to dust .
Y	0	Y	ashes	Ashes to ashes in the vast graveyard of the lifeless , glad really that he 's not one of those husbands in the waiting room .
Y	0	Y	ashes	BUY-THIS-BOOK hot line To order Ashes to Ashes ( Bantam , $24.95 ) , call Books Now at ( 800 ) BOOKS NOW , ext. 1105 ( be sure to mention Cosmo ) or go online at http : .
Y	0	Y	ashes	Having relocated three years ago part-time to Vancouver so Wyatr could pursue his passion for hockey , Goldie embarked on her own new projects : penning an unconventional memoir called A Lotus Grows in the Mud , which will be released this spring , as well as a movie called Ashes to Ashes , which she co-wrote and will direct .
