Orig Label	Perturbation	Subtype	Orig Label.1	Perturbation.1	True NPN	N1	Sentence Raw Text
Y	2	J	Y	0	N	agent	Internet Remarks are agent to consumer and are found on consumer products or websites ( Homesdatabase.com , lnf.com as examples ) . General Remarks are to agent agent and are only available via agent products ( Matrix , MRIS Homes Mobile App as examples ) .
Y	2	I	Y	0	N	aisle	Emma could have gone through the store with her eyes closed , moving to aisle aisle through perfect memory .
Y	2	I	Y	0	N	album	His sound always evolved to album album since Rhoads died and I ca n't say Down To Earth was anything but yet another progression in his sound .
Y	2	I	Y	0	N	album	to album album , Howe Gelb always seems to know how to infuse just the right amount of talented group of contributors .
Y	2	I	Y	0	N	alley	Not even to alley alley .
N	2	F	N	0	N	alot	a super take on this prompt I hate the C-word but I love you &; your blog Judy , I have something to award you with on my blog please come by and pick it up because I thin k you are a writer that I enjoy for so many reason you bring to alot alot of us thank you Janice Cancer ... the evil queen of devastation , tearing out the hearts of families who must carry on .
N	2	F	N	0	N	alternatives	to alternatives alternatives are needed .
N	2	F	N	0	N	analysts	The effort is aimed at essentially rewiring all the community 's separate and unique computerized networks , so that systems can talk to systems and to analysts analysts .
Y	2	J	Y	0	N	angel	Why do n't you stop by later catch up ... to angel angel .
Y	2	J	Y	0	N	angel	I work solo , to angel angel , exclusively .
N	2	F	N	0	N	animals	Since dogs and cats are carnivorous ( cats more so than dogs ) , feeding them to food animals makes it feeding to animals animals ( dogs and cats that 's going to be a hard safety sell .
Y	2	J	Y	0	N	ankle	Because she would n't walk , they herded us into another gully and handcuffed us to ankle ankle reinforcements .
N	2	F	N	0	N	antigen	We found that this antigen requires APC-dependent processing , as evidenced by the inability of metabolically inactivated APCs to present native to antigen antigen plus Ia-specific T-T hybridomas .
N	2	F	N	0	N	antimatter	You transfer the to antimatter antimatter pods ?
Y	2	J	Y	0	N	antler	This time Piltdown goes with the flow , pushes up and peers under the beam ... 147 NEW ANGLE 147 Fred is hanging on the other end . # FRED # Brother Piltdown ... can we talk about this , to antler antler ?
N	2	F	N	0	N	anybody	If you compare to anybody anybody else based on the color of their skin , YOU ARE RACIST elses skin matters more then the beliefs you share and/or do n't share , you are racist .
N	2	F	N	0	N	anybody	If you 're 13 , you do n't want to anybody anybody to like -- to take your favorite video game away , but then -- I mean these people had come in and and said , ' You know what , maybe it 's time to take your leg away . ' I 'm going , ' Whoa . ' You
N	2	F	N	0	N	anyone	Abuse is abuse , no matter the genders , by making it UNIVERSALLY wrong , by to anyone anyone , can we make it so culturally unacceptable that there is some chance of stopping it .
N	2	F	N	0	N	anything	"When Muslims mention that Holocaust denial is illegal in many European countries , they are not necessarily "" comparing "" or "" equating "" to anything anything ."
Y	2	I	Y	0	N	apogee	No relationship was found between domestic violence calls and either the anomalistic ( to apogee apogee ) or synodic ( full moon to full moon ) lunar cycles over the first 2 years , but more calls occurred at the third quarter during the 3rd year .
N	2	F	N	0	N	appeals	"In addition the rules provide no right against of potential landmark to appeals appeals courts in the US should commission trials result in guilty verdicts . // Hartmann told reporters that the commission trials would be open to the public , except in limited circumstances . """
N	2	F	N	0	N	apple	"Make sure you are looking at to apple apple snapshots , "" Roswell said ."
N	2	F	N	0	N	apple	Current to apple apple Comparisons Economic PhDs Women 95-99 cents Men 100 cents @!LIMBAUGH : ( Voiceover )
N	2	F	N	0	N	apple	Let 's go to current comparisons -- to apple apple comparisons .
N	2	F	N	0	N	apple	"Personally I think Romney should come out and say "" yeah , I 'm rich , I 'm successful -- you want me to lead you or the guy who has outspent any president EVER elected 4 or 8 years , has not improved unemployment ( when calculated to apple apple ) , has lied several times , has sold us a terrible bill in Obamacare , has increased taxes more than anybody ever has and run up the debt by 5 trillion ?"
N	2	F	N	0	N	apples	Yep , but remember , we 're no longer comparing to apples apples .
N	2		N	0	N	apples	You should compare to apples apples :
N	2		N	0	N	apples	"So trying to translate that gain into tangible benefit , I essentially get a "" free "" Heal for every 24 Heals I cast . ( I 'd give you a Sanctuary comparison to try to keep to apples apples here , but the coefficients completely elude me . )"
N	2		N	0	N	apples	Please when stating that churches are more ' efficient ' than ' the evil big government ' please compare to apples apples .
N	2		N	0	N	apples	one is committing to potential ( stressing potential ) a Buy-One-Get-Seven-Free ( but you 'll never really know how many extra reads we shared ) deal , the publishers and authors ought to be paid fairly . http : ... Al Norman However , to objectively discredit their argument , you must compare to apples apples .
N	2		N	0	N	apples	We will have a choice of multiple insurers , and when comparing plans they will be presented as to apples apples .
N	2		N	0	N	apples	The reason being you are not comparing to apples apples .
N	2	F	N	0	N	apples	As I said , current projects around the world shows that nuclear is half the cost of wind , if we compare to apples apples .
N	2		N	0	N	apples	to apples apples requires using the same discount rate .
N	2		N	0	N	apples	So if one really wants to push the question as to who gives more to charity , it would be better to compare to apples apples by comparing the contributions of atheists/agnostics among both Democrats and Republicans - there 's a lot of both ( though it would be more accurate if we said ' liberals ' and ' conservatives ' ) .
N	2		N	0	N	apples	All this in one year , which I have to go back three years to match out on Smugmug , but let 's look at to apples apples here , one year on each site .
N	2		N	0	N	apples	And , in the other chart touting 30+% , MPAA was cited as a source , so I am comparing to apples apples here .
N	2		N	0	N	apples	Beyond the federal dollar requirements make sure you are comparing to apples apples .
N	2		N	0	N	apples	"And to the person who posted above about teacher salaries compared to "" college graduates "" in Chicago , make sure you 're comparing to apples apples ."
N	2		N	0	N	apples	Comparing the value of an uncooked dry grain to a raw vegtable is not an to apples apples
N	2		N	0	N	apples	Since you wrote the article , it 'd be helpful if you actually completed the circle and chased down what the baselines actually are , so that we can compare to apples apples , instead of guessing about it .
N	2	F	N	0	N	apples	As for everything else : I have no idea why you resist doing your readers the basic service of making your comparison of to apples apples .
N	2		N	0	N	apples	Instead of telling us why we can manage to compare apples to oranges , please just give the to apples apples .
N	2		N	0	N	apples	Compare to apples apples .
N	2		N	0	N	apples	"But to say that zarq is comparing to apples apples is just dishonest . posted by paisley henosis at 8:34 PM on is newsfilter or not , regardless of the "" level "" of newsfilter ."
N	2		N	0	N	apples	But to say that zarq is comparing to apples apples is just dishonest .
N	2		N	0	N	apples	You 'll be able to quickly compare to apples apples because there are fewer apples the best decision based on the information you have .
N	2		N	0	N	apples	Time comparisons give the illusion we 're comparing to apples apples with respect to effort .
N	2		N	0	N	apples	You have those concerns and I appreciate that , but I feel we 're comparing to apples apples -- detergents and soaps are harsh or contain harsh ingredients .
N	2	F	N	0	N	apples	I 'm not sure what ' quicker ' or ' slower ' means here , but I 'm pretty sure we 're not comparing to apples apples here .
N	2		N	0	N	apples	The image library provides a common basis for researchers to test the effectiveness of different approaches to image processing based on an to apples apples .
N	2	F	N	0	N	apples	"You compare to apples apples , "" he added focus on four areas , according to Warren : the role of the presidency in government , leadership , the candidates ' world view and America 's role internationally ."
N	2		N	0	N	apples	For this type of static calculation , MODTRAN should be While it 's nearly impossible to compare to apples apples across such a wide spectrum of structures -- and built in such a wide range of climates -- certain green-build projects stand out , not just for their eco bells and whistles , but for the inspiration they offer architects , designers and developers alike .
N	2		N	0	N	apples	So when comparing damage estimates that you may see for Sandy to those here , to compare to apples apples , a rough method will be to take estimated insured losses and multiply by two .
N	2		N	0	N	apples	Out of the Box discovered to apples apples when its inventor , 15 years ago .
N	2	F	N	0	N	apples	, 10% of the population owned 71% of the wealth ... in Australia in 1999-2000 , the richest 20% of households distribution to income distribution - it 's not to apples apples .
N	2		N	0	N	apples	"I 'm not sure "" market failures "" and "" silly government programs "" are comparing to apples apples ."
N	2		N	0	N	apples	"So to apples apples , modern warming and MWP are similar sea levels equal to 1/2 meter higher than today , smaller glaciers worldwide than today , etc which all take many decades of "" asynchronous "" warming to achieve ."
N	2		N	0	N	apples	Let 's compare to apples apples . woodsmanj35 what do you shoot out of your 257 Weatherby Mag ?
N	2	F	N	0	N	apples	Comparing Cal to other schools is not comparing to apples apples .
N	2		N	0	N	apples	If you want to compare to Germany , to apples apples , you have to consider that the tax credit for the physical plant is 0% . KPMG did a study where they attempted to quantify the entire lifecycle and concluded that the return in taxes paid was 3X the tax credit with a decent IRR if evaluated as an investment
N	2		N	0	N	apples	And wind and solar are not comparable as to apples apples unless you 've accounted for the grid capacity factors .
N	2		N	0	N	apples	I 've read about the Heritage Foundation Study and it 's flawed because it does n't compare to apples apples ( age , education , types of degrees , responsibilities ) .
N	2		N	0	N	apples	"We like board games and are all for games if that is made clear beforehand but we 've been out a few times and after dinner people pull out to apples apples or the like and my husband gives me the "" get me the hell out of here !"
N	2		N	0	N	apples	If you want to compare to apples apples , the EROEI for petroleum , even Throw in the refining step , which is also 10/1 , and you have an EROEI of 5/1 or better for gasoline , compared to 1.2 or so for corn ethanol .
N	2		N	0	N	apples	This is one of the reasons why I gave Mr Pielke a hard time for not comparing to apples apples .
N	2		N	0	N	apples	Some humans assume to bare a lot of able agenda camera accuse are the way to bare the best discounts , which accept to requires a ample amount of reseek so youre comparing to apples apples .
N	2		N	0	N	apples	I think if you compare to apples apples , you will find that it is n't one versus several .
N	2		N	0	N	apples	"What is the single purpose of the pipeline if you compare to apples apples , you will find that it is n't one versus several . "" -- Robert Rapier I apologize for not seeing that this was a serious question ."
N	2		N	0	N	apples	You know , Lief , the most direct thing about this is that it is far simpler to compare to apples apples , rather than grind up an orange , squeeze out the juiice , add apple juice , pectin &; sugar , pack in a mold and create an artificial apple .
N	2		N	0	N	apples	I am saying compare to apples apples ..
N	2		N	0	N	apples	That MEANS something ... it IS a note of accomplishment to have endured politically , economically , socially , etc , etc , etc , and to have that status after great moments and profound evident failures ... compare to apples apples is also the point ! word-
N	2		N	0	N	apples	You are not comparing to apples apples .
N	2		N	0	N	apples	Are you comparing to apples apples when you zoom in ?
N	2		N	0	N	apples	"I particularly love the "" on average "" part -- no attempts to compare to apples apples here !"
N	2		N	0	N	apples	Anonymous Nooooo , I 'm talking about real statistics , not some idiot who thinks that all you need is a spreadsheet and does n't understand the concept of comparing to apples apples .
N	2		N	0	N	apples	Nor did the articles that you point to bother comparing to apples apples .
N	2		N	0	N	apples	So make sure you are comparing to apples apples .
N	2	F	N	0	N	apples	I indicate significantly , let us compare to apples apples below .
N	2		N	0	N	apples	to apples apples , otter to otter , gleam to gleam , though only when her mother was n't there .
N	2		N	0	N	apples	First , we specifically define the category so we 're comparing to apples apples .
N	2		N	0	N	apples	And when you comparison shop , always compare to apples apples : Subtle differences in construction technique-like using countersunk screws instead of nails , careful painting , and rot prevention-can add considerably to the initial cost but can save thousands in the end for your home , consider a custom fence .
N	2		N	0	N	apples	And in order to make the com parison to apples apples , Starmine evaluated analysts ' returns relative to sector benchmarks , and then ranked analysts by how much they outperformed their respective sectors over the three-year period that ended June 2002 .
N	2	F	N	0	N	apples	"More than 400 commercial manufacturers currently produce log homes , each with numerous styles and options . "" Ill be the first to admit it , we make it veiy difficult for consumers to compare to apples apples , so to speak , because eveiy company has a different package , "" says Rich Horn , 2004 president of the Log Homes Council . """
N	2		N	0	N	apples	Alwil and Grisoft offer feature-limited free versions of their programs-but to compare to apples apples , we selected their paid versions .
N	2		N	0	N	apples	We start with almost 100 boot entries and divide them into groups -- narrow , medium , and wide lasts , plus a wild-card category for new technologies -- so we 're comparing to apples apples .
N	2		N	0	N	apples	# BUYING TIP # Because energy info on old labels is calculated using a different standard than on new labels , only compare label data when it ' s to apples apples ( old to old , new to new ) . # Section : GH REPORT # TURN YOUR OLD TV into a smart TV by adding one of these entertainment devices .
N	2		N	0	N	apples	We also have not been investing- KOPPEL : Can we just compare to apples apples , though ?
N	2		N	0	N	apples	This should have been done months ago , at least six weeks ago , when the president signed a law saying he would do this , submit a balanced budget in seven years using real , honest CBO numbers , but at least it 's been done now and they can talk to apples apples .
N	2		N	0	N	apples	and if it 's Florio , we have a lot to discuss as far as comparison , although the interesting thing is while you use what you have done and -- and if I run against Jim Florio , we both have held the same job and it -- so you can compare to apples apples -- but this is also about the future , about what you 'd do as a United States senator to help New Jersey .
N	2	F	N	0	N	apples	O'REILLY : Again -- again , you 're not comparing to apples apples now .
N	2		N	0	N	apples	@!SUAREZ : And when you are comparing to apples apples and in places where people do have a full range of choices rather than just the default choice of the car , transit performs well ?
N	2		N	0	N	apples	So , I 'm going to ask the exact same question to both candidates so America can have a fair and equitable look at how they compare , not to apples apples , not something different .
N	2	F	N	0	N	apples	I mean , we 're not really , to use the president 's term , comparing to apples apples .
N	2		N	0	N	apples	In fact , CBO has estimated that both plans , both the Democratic plan and the Republican plan , if you 're looking at down premiums by about the same amount for the to apples apples .
N	2		N	0	N	apples	When you compare to apples apples , in fact , it is a decent comparison .
N	2		N	0	N	apples	@!GWEN-IFILL: So let 's compare this to apples apples .
N	2		N	0	N	apples	However , I will say , to compare to apples apples again , as you say , George W. Bush , as the incumbent president , in the third quarter of 2003 , just for his campaign , not combined with the RNC , raised $50 million .
N	2		N	0	N	apples	book , Jim writes of preparing opening questions for the 1992 three-way debate between George H.W. Bush , Bill Clinton and Ross Perot . @!JIM-LEHRER: I will ask questions for the first half under rules that permit ... @!JEFFREY-BROWN: To get things going , he wanted a question along the same lines , to apples apples , for each candidate .
N	2		N	0	N	apples	To arrive at the numbers that they released in this survey , does the administration compare to apples apples , like policies to like policies across the states ?
N	2		N	0	N	apples	So one of the things we want to talk about is make sure that you 're not just shopping for pricing--compare to apples apples .
N	2		N	0	N	apples	You know , let 's put to apples apples .
N	2		N	0	N	apples	Well then -- let 's put to apples apples .
N	2		N	0	N	apples	If you 're not comparing to apples apples , it does n't matter .
N	2		N	0	N	apples	But if you go to apples apples , the last time the unemployment rate is what it is right now was back in 2000 , 2001 .
N	2		N	0	N	apples	I do n't think you 're going to find a lot of cases where you 're gon na say , hey , to apples apples .
N	2	F	N	0	N	apples	@1CUOMO@2 : Senator Booker says unfair to go to apples apples with what he dealt with in Newark with what the crime bill represented .
N	2		N	0	N	apples	If we 're going to compare to apples apples , the similarity is just the track .
N	2		N	0	N	apples	We ordered a selection of wine and beer ( served in awesome goblets ) and immediately spotted to apples apples .
N	2		N	0	N	apples	That would mean comparing to apples apples : the gay Ozzie and Harriets with the hetero ones , not matching the absent gay dad or drunk lesbian mom against the straight Ozzie and Harriets .
N	2		N	0	N	apples	The short answer offered by researchers Sylvia A. Allegretto and Jeffrey Keefe in their report for UC Berkeley 's Center on Wage and Employment Dynamics is ' no . ' Taking data that includes educational levels , age , wage sector employees , their study is able to compare to apples apples , in a sense , to arrive at several interesting and important findings .
N	2		N	0	N	apples	To be fair , moments earlier I had been questioned about how we knew each other , why I had his phone number and why he was texting me instead of his close friends that were surrounding me in the room ... so I continued playing to apples apples ( an essential game to have on drunken party nights at college ) .
N	2		N	0	N	apples	That is because , with the color coding according to the phase of ENSO , the eye is able to compare to apples apples : the upward long-term trend during El Nio years ( red triangles ) is plain , the upward long-term trend during neutral years ( green squares ) is plain , and the upward long-term trend during La Nia years ( blue diamonds ) is plain .
N	2		N	0	N	apples	I think it includes all federal taxes ( income Obama and the media are n't comparing to apples apples .
N	2		N	0	N	apples	"But it 's important to make sure you 're comparing to apples apples when you compare your price to the comps : look for ' sold ' prices , not just list prices of comparable properties ; check to be sure you 're comparing your deal with similar transaction types -- foreclosures to foreclosures , short sales to short sales , "" regular"
N	2		N	0	N	apples	". "" But it 's important to make sure you 're comparing to apples apples when you compare your price to the comps : look for ' sold ' prices , not just list prices of comparable properties ; check to be sure you 're comparing your deal with similar transaction types -- foreclosures to foreclosures , short sales to short sales , "" regular "" equity sales to the same ; and make sure that the "" comps "" are actually similar in terms of bedrooms , bathrooms , square footage , location and condition ."
N	2		N	0	N	apples	to apples apples , dust to dust , bitchez .
N	2		N	0	N	apples	The other argument could be that I am not really comparing to apples apples .
N	2		N	0	N	apples	to apples apples : Technically a party game , but played with cards and dirt simple so I 'm going to cheat and sneak it into slot 11 on this top 10 list .
N	2		N	0	N	apples	If you talk fast I think all instructions could be given in that to apples apples made it on your list .
N	2		N	0	N	apples	Compare to apples apples , look it up .
N	2		N	0	N	apples	"If they want to shop around for the best deal , they need to be able to compare to apples apples , "" said Nicoll ."
N	2	F	N	0	N	apples	If you 're asking if I 'm comparing to apples apples -- no .
N	2		N	0	N	apples	To compare to apples apples , it 's probably better to use the MEPS denominator for overall health spending .
N	2	F	N	0	N	apples	Will we see him singing the 18 comments Folks , Comparing to apples apples - Gross Revenues to Debt Owed , we are one of the most indebted nations in the world - owing 5.5 Years of Gross Revenues increasing by half-a-year per year ...
N	2		N	0	N	apples	regular , etc ) so we can actually compare to apples apples .
N	2		N	0	N	apples	To keep this to apples apples how eggs compare to the eggs of factory farms ?
N	2		N	0	N	apples	So lets compare to apples apples .
N	2		N	0	N	apples	That 's why it 's important to look closely at the components of any research study to determine whether the overall findings provide appropriate guidance for your specific students , subjects , and grades -- to apples apples , so to speak .
N	2		N	0	N	apples	We 're comparing to apples apples .
N	2		N	0	N	apples	that way we would be able to compare to apples apples rather than vice versa .
N	2		N	0	N	apples	"As Ryan said , comparing ocean sailing to space is apples and orange orchards "" : Comparisons like this are always comparing apples to oranges , you could n't comparing to apples apples since you got only one apple ."
N	2		N	0	N	apples	It may be the case that HTML ( using tables ) is still longer than HTML ( using CSS only ) + CSS , but you should still compare to apples apples .
N	2		N	0	N	apples	Unfortunately , you are n't comparing to apples apples .
N	2		N	0	N	apples	So you are n't able to truly compare to apples apples with Sprint .
N	2	F	N	0	N	apples	Trying to keep to apples apples ( pun intended ) for the sake of this example : both VM and Sprint have the iPhone 4s .
N	2		N	0	N	apples	Just comparing to apples apples , you small-minded coward .
N	2		N	0	N	apples	"We have subsidized housing already for the poor ... no one lives in the "" sewer "" unless of their own free will ... to apples apples ."
N	2		N	0	N	apples	Yet , we , if one compares to apples apples , one would argue that nuclear power is far safer than bicycles , cell phones , ladders , tricycles , etc .
N	2	F	N	0	N	apples	And these are inflation-adjusted dollars , so we 're comparing to apples apples .
N	2	F	N	0	N	apples	Without that information , it 's hard to say if they were really comparing to apples apples .
N	2		N	0	N	apples	If Newt 's going to compare reality with fantasy , then I suggest he at least compare to apples apples :
N	2		N	0	N	apples	When looking for a club , compare to apples apples .
N	2		N	0	N	apples	In Tiger 's case , you 're comparing to apples apples .
N	2		N	0	N	apples	"If they want to compare to apples apples , look at the Electricity Facts Label , because they have said Carrie Collier , a legislative analyst at the Public Utility Commission . """
N	2	F	N	0	N	apples	AT &T; does that so investors can compare to apples apples , says AT &T; spokesman Jim Byrnes .
N	2		N	0	N	apples	"You have to compare to apples apples , and that means you have to base it on the number of operations , "" said Lorie Hinton , assistant director at Centennial . """
N	2		N	0	N	apples	"Most of the more mildly affected children who are considered to be on the spectrum today would never have qualified for an autism diagnosis impossible to compare to apples apples when looking at data on long-term trends , because what counts as "" autism "" is simply quite different today ."
N	2		N	0	N	apples	Web site can help you . // - Get several estimates for your job , and ask that they be detailed and itemized , including materials , so that you can compare to apples apples .
N	2	F	N	0	N	apples	It 's like you are comparing to apples apples when you really are n't .
N	2		N	0	N	apples	"The Los Angeles Times article should have considered comparing "" to apples apples . "" I wonder how many other Vietnam vets and POWs had marriages that did not survive that incredible stress ?"
N	2	F	N	0	N	apples	He grew Mattel 's once paper-thin games division by buying big names like Uno and to apples apples .
N	2		N	0	N	apples	The basic structure of this pleasingly casual game is similar to to apples apples , though with a slightly more touchy-feely bent .
N	2		N	0	N	apples	"You have to make sure you 're comparing to apples apples , "" says Michael Lepech , a Stanford University professor studying ways to improve the sustainability of engineering processes . #"
N	2		N	0	N	apples	When workers compare what they have to what the owners have , they are not comparing to apples apples .
N	2		N	0	N	apples	You want to be comparing to apples apples .
N	2		N	0	N	apples	Problem is you 're not comparing to apples apples .
N	2		N	0	N	apples	Greg Gibson Overland School op-ed did n't compare to apples apples
N	2		N	0	N	apples	With a background in education , he full well knows that he is not comparing to apples apples .
N	2		N	0	N	apples	But keeping the same multiplier allows to track progress over time , comparing to apples apples , she said .
N	2		N	0	N	apples	Oh ... I know that to apples apples was discussed , but I do n't like that game .
N	2		N	0	N	apples	You know , Richard , Bryce makes whip up an alternate launch plan with a big public rollout , and then we can compare to apples apples .
N	2		N	0	N	apples	Without controlling for the exact offense , the researchers are unlikely to be comparing to apples apples .
N	2	F	N	0	N	arbitration	. Mr. WILL : But , Mr. Selig , if you 're confident that you can make your case that baseball has serious financial problems and therefore your position on arbitration is intellectually justified , are you not willing to submit it , have the confidence to send it to arbitration , send to arbitration arbitration , as the union suggests ?
Y	2	I	Y	0	N	archdiocese	How much does it matter , to archdiocese archdiocese , location to location , how the church has responded to this crisis ?
Y	2	J	Y	0	N	arm	Yes , we fight to arm arm in Iraq .
Y	2	J	Y	0	N	arm	In the center of the circle of gods who reunited with every dream , he would fight to arm arm , using his croup to dodge any sly move on the enemy 's part , and avoid the rope whizzing between his hooves , thus forcing the enemy to fight face to face .
Y	2	J	Y	0	N	arm	She tied the shirts to arm arm , the pants leg to leg , and began to wrap his clothes in widening orbit .
Y	2	J	Y	0	N	arm	"Thirteen activists then sat , to arm arm , chanting back and forth with the hundreds pushed back by the cops , exchanging verses : "" How many more have to die ?"
Y	2	J	Y	0	N	arms	If you are having problems because you ca n't hold hands then walk to arms arms .
Y	2	J	Y	0	N	army	We 're paying them off instead of having to go to the barely get laminated by western ones in classic to army army combat .
Y	2	J	Y	0	N	army	that , then as now , allowed easy communication at all levels , personal as well as institutional , the alliance born of common imperiled vital interests developed a special Combined Chiefs of Staff , to the sharing of intelligence , to the creation of liaisons between the individual services ( i.e. , to army army , navy to navy , etc. ) , to the joint project that culminated in the advent of nuclear weapons .
Y	2	J	Y	0	N	army	now , allowed easy communication at all levels , personal as well as institutional , the alliance born of common imperiled vital interests developed a special Combined Chiefs of Staff , to the sharing of intelligence , to the creation of liaisons between the individual services ( i.e. , to army army , navy to navy , etc. ) , to the joint project that culminated in the advent of nuclear weapons .
Y	2	J	Y	0	N	artisan	You were to artisan artisan .
Y	2	J	Y	0	N	artist	"But the show 's curator/team leader , Van Jazmin , describes the public display of this to artist artist work as a "" progressive step for Postal Art , "" usually considered somewhat of a "" relatively underground movement in response to the Fluxus movement . "" Finding truth and beauty in simple ordinary things requires a humble ( ego-less ) way of seeing and being in the world"
Y	2	J	Y	0	N	artist	Talk to them to artist artist , two experts plying their trade !
Y	2	J	Y	0	N	artist	Um , listen , Lana , just between you and me you know to artist artist when do you think we 'll draw females ?
Y	2	J	Y	0	N	artist	to artist artist , all right [?]
Y	2	J	Y	0	N	artist	If a student does n't know a technique , you have to introduce ( the technique ) and give them directions . on the other hand it can get really personal and become more like ... to artist artist . ( community resource person )
Y	2	B	Y	0	N	ash	to ash ash , you say , but I know different .
Y	2	B	Y	0	N	ash	to ash ash , we join you again .
Y	2	B	Y	0	N	ash	to ash ash , dust to dust .
Y	2	B	Y	0	N	ashes	to ashes ashes and all that .
Y	2		Y	0	N	ashes	After the finale of to ashes ashes aired , producer Matthew Graham gave an interview ( and you can consider yourself warned for massive spoilers ) where he talked about the three possible endings the writers had considered , and one alternate version to the third they almost shot before going with the version they chose :
Y	2		Y	0	N	ashes	to ashes ashes , Dust to Dust .
Y	2	B	Y	0	N	ashes	to ashes ashes , dust .
Y	2		Y	0	N	ashes	"Rachel nodded , her eyes closing . "" to ashes ashes ... "" p114 Mary"
Y	2		Y	0	N	ashes	to ashes ashes , right ?
Y	2		Y	0	N	ashes	to ashes ashes , dust to dust : the formula is easy to recite , hard to accept sang to us a week ago .
Y	2		Y	0	N	ashes	"The mailman 's family would have a tough-enough time just living with the pain and getting burdens as well . "" to ashes ashes , "" the minister said , "" dust to dust . "" Tritia and Doug looked at each other , then grasped each other 's hands , holding tightly . "" Amen . "" Ellen and the boys moved forward as the casket was lowered into the grave ."
Y	2	B	Y	0	N	ashes	"Then he said , "" to ashes ashes . "" I was startled ."
Y	2		Y	0	N	ashes	to ashes ashes , pulp to pulp .
Y	2		Y	0	N	ashes	to ashes ashes , dust to dust .
Y	2		Y	0	N	ashes	"to ashes ashes , dust to dust , "" Rabbi Fink continued , pounding the podium to emphasize his points . "" Whoever heard of Sol Spivak ?"
Y	2	B	Y	0	N	ashes	"The house really was huge , and maybe that was why it took so long for anyone to come to the front door . "" Fuck it , it 's freezing out here , "" Jason said . "" to ashes ashes , "" Gretel said . "" Will you cut it out ? "" Jason put his hand on the doorbell and left it of life . "" """
Y	2		Y	0	N	ashes	to ashes ashes : Gold Dust to Dusty , what a joke .
Y	2		Y	0	N	ashes	", I really do . "" After the service they rode together in one of Mandelbaum 's limousines , leading a parade of cars through stop-and-go traffic all the way down to Colma , where , under a bright blue sky , Miriam Suskind 's coffin was lowered into the ground . "" to ashes ashes , dust to dust , "" Rabbi Futterman intoned , and with his knotty hands he shoveled the first clods of dirt ."
Y	2	B	Y	0	N	ashes	". "" After the service they rode together in one of Mandelbaum 's limousines , leading a parade of cars through stop-and-go traffic all the way down to Colma , where , under a bright blue sky , Miriam Suskind 's coffin was lowered into the ground . "" to ashes ashes , dust to dust , "" Rabbi Futterman intoned , and with his knotty hands he shoveled the first clods of dirt ."
Y	2		Y	0	N	ashes	"I think it was surprise as much as pain ; in spite of the corpse I had seen and identified on a high-resolution video monitor , in Assurance "" in his high , sweet tenor voice , in spite of the graveside service with its to ashes ashes and dust to dust , I had n't really believed it ."
Y	2	B	Y	0	N	ashes	Was it merely the twisted set of her mind , or was this mosaic of to ashes ashes and dust to dust a thing of beauty ?
Y	2		Y	0	N	ashes	"Whatever you do , it 's still to ashes ashes , dust to dust . """
